Codi_Districte,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
1,Ciutat Vella,el Raval,1,1001,229,1,1,2024
1,Ciutat Vella,el Raval,1,1002,241,1,2,2024
1,Ciutat Vella,el Raval,2,1003,547,1,3,2024
1,Ciutat Vella,el Raval,2,1004,440,1,4,2024
1,Ciutat Vella,el Raval,3,1005,362,1,5,2024
1,Ciutat Vella,el Raval,3,1006,353,1,6,2024
1,Ciutat Vella,el Raval,3,1007,328,1,7,2024
1,Ciutat Vella,el Raval,4,1008,608,1,8,2024
1,Ciutat Vella,el Raval,4,1009,447,1,9,2024
1,Ciutat Vella,el Raval,4,1010,506,1,10,2024
1,Ciutat Vella,el Raval,5,1011,579,1,11,2024
1,Ciutat Vella,el Raval,5,1012,306,1,12,2024
1,Ciutat Vella,el Raval,5,1013,151,1,13,2024
1,Ciutat Vella,el Raval,6,1014,272,1,14,2024
1,Ciutat Vella,el Raval,6,1015,335,1,15,2024
1,Ciutat Vella,el Raval,6,1016,248,1,16,2024
1,Ciutat Vella,el Raval,6,1017,462,1,17,2024
1,Ciutat Vella,el Raval,7,1018,230,1,18,2024
1,Ciutat Vella,el Raval,7,1019,534,1,19,2024
1,Ciutat Vella,el Raval,7,1020,315,1,20,2024
1,Ciutat Vella,el Raval,8,1021,345,1,21,2024
1,Ciutat Vella,el Barri Gòtic,9,1022,273,2,22,2024
1,Ciutat Vella,el Barri Gòtic,9,1023,314,2,23,2024
1,Ciutat Vella,el Barri Gòtic,10,1025,276,2,24,2024
1,Ciutat Vella,el Barri Gòtic,10,1026,1193,2,25,2024
1,Ciutat Vella,el Barri Gòtic,10,1027,340,2,26,2024
1,Ciutat Vella,el Barri Gòtic,11,1028,421,2,27,2024
1,Ciutat Vella,el Barri Gòtic,11,1029,319,2,28,2024
1,Ciutat Vella,el Barri Gòtic,12,1030,430,2,29,2024
1,Ciutat Vella,el Barri Gòtic,12,1031,511,2,30,2024
1,Ciutat Vella,la Barceloneta,13,1032,218,3,31,2024
1,Ciutat Vella,la Barceloneta,13,1033,167,3,32,2024
1,Ciutat Vella,la Barceloneta,13,1034,175,3,33,2024
1,Ciutat Vella,la Barceloneta,14,1035,158,3,34,2024
1,Ciutat Vella,la Barceloneta,14,1036,116,3,35,2024
1,Ciutat Vella,la Barceloneta,15,1037,121,3,36,2024
1,Ciutat Vella,la Barceloneta,15,1038,251,3,37,2024
2,Eixample,Sant Antoni,51,2150,152,10,204,2024
1,Ciutat Vella,la Barceloneta,15,1039,151,3,38,2024
1,Ciutat Vella,la Barceloneta,15,1040,145,3,39,2024
1,Ciutat Vella,la Barceloneta,15,1041,223,3,40,2024
1,Ciutat Vella,la Barceloneta,15,1042,156,3,41,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1043,180,4,42,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1044,168,4,43,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1045,317,4,44,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1046,254,4,45,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1047,276,4,46,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1048,272,4,47,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1049,190,4,48,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1050,232,4,49,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1051,266,4,50,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1052,237,4,51,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1053,209,4,52,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1054,148,4,53,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1055,114,4,54,2024
2,Eixample,el Fort Pienc,20,2001,103,5,55,2024
2,Eixample,el Fort Pienc,20,2002,670,5,56,2024
2,Eixample,el Fort Pienc,20,2003,98,5,57,2024
2,Eixample,el Fort Pienc,20,2004,121,5,58,2024
2,Eixample,el Fort Pienc,20,2005,372,5,59,2024
2,Eixample,el Fort Pienc,20,2006,119,5,60,2024
2,Eixample,el Fort Pienc,20,2007,233,5,61,2024
2,Eixample,el Fort Pienc,20,2008,118,5,62,2024
2,Eixample,el Fort Pienc,20,2009,125,5,63,2024
2,Eixample,el Fort Pienc,21,2010,100,5,64,2024
2,Eixample,el Fort Pienc,21,2011,82,5,65,2024
2,Eixample,el Fort Pienc,21,2012,128,5,66,2024
2,Eixample,el Fort Pienc,21,2013,113,5,67,2024
2,Eixample,el Fort Pienc,22,2014,151,5,68,2024
2,Eixample,el Fort Pienc,22,2015,187,5,69,2024
2,Eixample,el Fort Pienc,22,2016,164,5,70,2024
2,Eixample,el Fort Pienc,22,2017,187,5,71,2024
2,Eixample,el Fort Pienc,22,2018,133,5,72,2024
2,Eixample,el Fort Pienc,22,2019,135,5,73,2024
2,Eixample,el Fort Pienc,22,2020,194,5,74,2024
2,Eixample,la Sagrada Família,23,2021,101,6,75,2024
2,Eixample,la Sagrada Família,23,2022,94,6,76,2024
2,Eixample,la Sagrada Família,23,2023,62,6,77,2024
2,Eixample,la Sagrada Família,23,2024,129,6,78,2024
2,Eixample,la Sagrada Família,24,2025,148,6,79,2024
2,Eixample,la Sagrada Família,24,2026,221,6,80,2024
2,Eixample,la Sagrada Família,24,2027,186,6,81,2024
2,Eixample,la Sagrada Família,24,2028,183,6,82,2024
2,Eixample,la Sagrada Família,24,2029,93,6,83,2024
2,Eixample,la Sagrada Família,24,2030,127,6,84,2024
2,Eixample,la Sagrada Família,24,2031,62,6,85,2024
2,Eixample,la Sagrada Família,24,2032,83,6,86,2024
2,Eixample,la Sagrada Família,25,2033,122,6,87,2024
2,Eixample,la Sagrada Família,25,2034,140,6,88,2024
2,Eixample,la Sagrada Família,25,2035,133,6,89,2024
2,Eixample,la Sagrada Família,25,2036,71,6,90,2024
2,Eixample,la Sagrada Família,25,2037,73,6,91,2024
2,Eixample,la Sagrada Família,25,2038,103,6,92,2024
2,Eixample,la Sagrada Família,25,2039,159,6,93,2024
2,Eixample,la Sagrada Família,25,2040,179,6,94,2024
2,Eixample,la Sagrada Família,26,2041,109,6,95,2024
2,Eixample,la Sagrada Família,26,2042,106,6,96,2024
2,Eixample,la Sagrada Família,26,2043,101,6,97,2024
2,Eixample,la Sagrada Família,26,2044,99,6,98,2024
2,Eixample,la Sagrada Família,26,2045,61,6,99,2024
